Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.text.G2TextMeasurer,6,1,1,0,6,2,1,18,32,0.5625
org.jfree.chart.text.TextAnchor,51,n/a,3,n/a,10,8,1,67,117,0.572649573
org.jfree.chart.text.TextBlock,17,1,1,0,31,27,1.93,108,231,0.467532468
org.jfree.chart.text.TextBlockAnchor,12,n/a,2,n/a,2,0,n/a,12,23,0.52173913
org.jfree.chart.text.TextBox,9,1,1,0,61,47,1.88,147,334,0.44011976
org.jfree.chart.text.TextFragment,7,1,1,0,43,28,1.87,115,226,0.508849558
org.jfree.chart.text.TextLine,8,1,1,0,33,24,1.85,87,186,0.467741935
org.jfree.chart.text.TextMeasurer,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.text.TextUtils,38,1,3,0,89,76,3.3,280,658,0.425531915
org.jfree.chart.text.format.HMSNumberFormat,1,3,2,0,8,4,1,39,65,0.6
org.jfree.chart.text.format.HexNumberFormat,0,3,2,0,14,9,1.29,56,97,0.577319588
org.jfree.chart.text.format.LogFormat,2,3,2,0,20,20,1.82,90,181,0.497237569
org.jfree.chart.text.format.RelativeDateFormat,2,3,2,0,46,46,1.64,237,457,0.518599562
org.jfree.chart.title.CompositeTitle,13,3,2,0,40,18,1.38,91,171,0.532163743
org.jfree.chart.title.DateTitle,7,4,1,0,12,5,1,82,107,0.76635514
org.jfree.chart.title.ImageTitle,9,3,1,0,49,30,2.5,119,283,0.4204947
org.jfree.chart.title.ShortTextTitle,9,4,2,0,41,24,3.43,69,178,0.387640449
org.jfree.chart.title.TextTitle,38,3,1,2,101,99,2.75,296,730,0.405479452
org.jfree.chart.title.Title,30,2,3,5,38,36,1.64,180,340,0.529411765
org.jfree.chart.urls.CategoryURLGenerator,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.urls.CustomCategoryURLGenerator,4,1,1,0,16,22,2.75,56,138,0.405797101
org.jfree.chart.urls.CustomPieURLGenerator,5,1,1,0,22,20,2.5,74,157,0.47133758
org.jfree.chart.urls.CustomXYURLGenerator,4,1,1,0,18,22,2.75,58,141,0.411347518
org.jfree.chart.urls.PieURLGenerator,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.urls.StandardCategoryURLGenerator,15,1,1,0,18,16,2.29,58,136,0.426470588
org.jfree.chart.urls.StandardPieURLGenerator,6,1,1,0,13,13,2.17,47,109,0.431192661
org.jfree.chart.urls.StandardXYURLGenerator,7,1,1,1,8,11,2.2,47,100,0.47
org.jfree.chart.urls.StandardXYZURLGenerator,4,2,1,0,2,1,1,12,19,0.631578947
org.jfree.chart.urls.TimeSeriesURLGenerator,6,1,1,0,22,17,2.12,58,140,0.414285714
org.jfree.chart.urls.XYURLGenerator,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
