Dependency metrics,Wed., 19 Oct. 2022 18:20:12 EDT,,,,,
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
org.jfree.chart.swing.editor.DefaultLogAxisEditor,3,5,132,1,16,2,1
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,3,6,132,1,16,2,1
org.jfree.chart.swing.editor.DefaultPlotEditor,0,16,241,2,12,6,1
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,0,6,242,1,11,3,1
org.jfree.chart.swing.editor.DefaultTitleEditor,0,7,114,1,11,3,1
org.jfree.chart.swing.editor.DefaultValueAxisEditor,3,7,132,2,16,2,1
org.jfree.chart.swing.editor.FontChooserPanel,0,0,0,2,18,0,1
org.jfree.chart.swing.editor.FontDisplayField,0,0,0,2,18,0,1
org.jfree.chart.swing.editor.LCBLayout,0,0,0,7,18,0,1
org.jfree.chart.swing.editor.PaintSample,0,0,0,5,18,0,1
org.jfree.chart.swing.editor.StrokeChooserPanel,0,2,2,2,17,1,1
org.jfree.chart.swing.editor.StrokeSample,0,0,0,3,18,0,1
org.jfree.chart.text.AttributedStringUtils,0,0,0,2,540,0,2
org.jfree.chart.text.G2TextMeasurer,0,2,14,4,537,1,4
org.jfree.chart.text.TextAnchor,0,0,0,51,559,0,15
org.jfree.chart.text.TextBlock,3,7,13,10,547,4,6
org.jfree.chart.text.TextBlockAnchor,0,0,0,12,550,0,5
org.jfree.chart.text.TextBox,0,6,17,3,52,4,1
org.jfree.chart.text.TextFragment,3,5,13,3,547,3,2
org.jfree.chart.text.TextLine,3,4,13,4,547,3,2
org.jfree.chart.text.TextUtils,3,6,13,33,547,2,13
org.jfree.chart.text.format.HMSNumberFormat,0,0,0,1,1,0,1
org.jfree.chart.text.format.HexNumberFormat,0,0,0,0,0,0,0
org.jfree.chart.text.format.LogFormat,0,1,1,1,1,1,1
org.jfree.chart.text.format.RelativeDateFormat,0,1,1,1,1,1,1
org.jfree.chart.title.CompositeTitle,0,11,110,2,44,5,2
org.jfree.chart.title.DateTitle,0,6,110,1,1,2,1
org.jfree.chart.title.ImageTitle,0,9,110,0,0,4,0
