Lines of code metrics,Wed., 19 Oct. 2022 19:46:22 EDT,
Class,CLOC,JLOC,LOC
org.jfree.data.general.DatasetUtils,830,773,"2,253"
org.jfree.data.general.DefaultHeatMapDataset,132,131,264
org.jfree.data.general.DefaultKeyedValueDataset,63,63,136
org.jfree.data.general.DefaultKeyedValues2DDataset,8,7,13
org.jfree.data.general.DefaultKeyedValuesDataset,6,5,10
org.jfree.data.general.DefaultPieDataset,161,161,277
org.jfree.data.general.DefaultValueDataset,43,43,81
org.jfree.data.general.HeatMapUtils,34,34,75
org.jfree.data.general.Series,107,107,182
org.jfree.data.general.SeriesChangeEvent,9,9,15
org.jfree.data.general.SeriesException,9,9,15
org.jfree.data.general.WaferMapDataset,129,128,234
org.jfree.data.io.CSV,56,50,140
org.jfree.data.json.JSONUtils,50,49,141
org.jfree.data.json.impl.JSONArray,50,50,116
org.jfree.data.json.impl.JSONObject,68,68,147
org.jfree.data.json.impl.JSONValue,137,59,287
org.jfree.data.resources.DataPackageResources,10,10,20
org.jfree.data.resources.DataPackageResources_de,9,9,19
org.jfree.data.resources.DataPackageResources_es,9,9,19
org.jfree.data.resources.DataPackageResources_fr,9,9,19
org.jfree.data.resources.DataPackageResources_pl,9,9,19
org.jfree.data.resources.DataPackageResources_ru,9,9,19
org.jfree.data.statistics.BoxAndWhiskerCalculator,54,54,159
org.jfree.data.statistics.BoxAndWhiskerItem,103,102,223
org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,421,416,824
org.jfree.data.statistics.DefaultBoxAndWhiskerXYDataset,248,248,478
org.jfree.data.statistics.DefaultMultiValueCategoryDataset,149,148,333
org.jfree.data.statistics.DefaultStatisticalCategoryDataset,264,252,617
org.jfree.data.statistics.HistogramBin,50,50,110
org.jfree.data.statistics.HistogramDataset,215,205,415
org.jfree.data.statistics.HistogramType,6,6,11
org.jfree.data.statistics.MeanAndStandardDeviation,64,64,126
org.jfree.data.statistics.Regression,72,70,292
org.jfree.data.statistics.SimpleHistogramBin,89,88,216
org.jfree.data.statistics.SimpleHistogramDataset,229,228,403
org.jfree.data.statistics.Statistics,151,137,379
org.jfree.data.time.DateRange,68,68,107
org.jfree.data.time.Day,213,203,389
org.jfree.data.time.DynamicTimeSeriesCollection,408,342,772
org.jfree.data.time.DynamicTimeSeriesCollection.ValueSequence,25,25,43
org.jfree.data.time.FixedMillisecond,114,105,221
org.jfree.data.time.Hour,213,201,401
org.jfree.data.time.Millisecond,183,176,370
org.jfree.data.time.Minute,207,197,406
org.jfree.data.time.Month,221,208,452
org.jfree.data.time.MovingAverage,96,84,256
org.jfree.data.time.Quarter,207,195,397
org.jfree.data.time.RegularTimePeriod,216,214,318
org.jfree.data.time.Second,189,181,378
org.jfree.data.time.SimpleTimePeriod,75,75,163
org.jfree.data.time.TimePeriodAnchor,7,7,12
org.jfree.data.time.TimePeriodFormatException,9,9,14
org.jfree.data.time.TimePeriodValue,68,67,130
org.jfree.data.time.TimePeriodValues,169,169,382
org.jfree.data.time.TimePeriodValuesCollection,169,168,366
